Library ,Request,Multiplex,ID,Sample,Background,Tissue/ Cell-type
,,,,,,
10/22/15,3289,2798,32793,WT No Treatment (N2),WT,No promoter
10/22/15,3289,2798,32794,WT Treatment (N2),WT,No promoter
11/19/15,3368,2874,34092,WT No Treatment (N2),WT,No promoter
11/19/15,3368,2874,34093,WT Treatment (N2),WT,No promoter
10/19/17,5410,5124,57751,WT No treatment (N2) first technical replicate,WT,No promoter
10/19/17,5410,5124,57752,WT Treatment (N2) first technical replicate,WT,No promoter
10/19/17,5410,5124,57753,WT No treatment (N2) second technical replicate,WT,No promoter
10/19/17,5410,5124,57754,WT Treatment (N2) second technical replicate,WT,No promoter
,,,,,,
,,,,,,
11/5/15,3321,2817,32949,henn-1(0) (MLC405) No Treatment,henn-1(0),No promoter
11/5/15,3321,2817,32952,henn-1(0) (MLC405) Treatment,henn-1(0),No promoter
,,,,,,
,,,,,,
10/22/15,3289,2798,32795,rab-3:HEN1 repl 14 (MLC450) No Treatment,henn-1(0),Pan-neuronal (all neurons)
10/22/15,3289,2798,32796,rab-3:HEN1 repl 18.4 (MLC451) No Treatment,henn-1(0),Pan-neuronal (all neurons)
10/22/15,3289,2798,32797,rab-3:HEN1 repl 14 (MLC450) Treatment,henn-1(0),Pan-neuronal (all neurons)
10/22/15,3289,2798,32798,rab-3:HEN1 repl 18.4 (MLC451) Treatment,henn-1(0),Pan-neuronal (all neurons)
,,,,,,
11/5/15,3321,2817,32950,unc-31:HEN1 repl 1 (MLC530) No Treatment,henn-1(0),Pan-neuronal (all neurons)
11/5/15,3321,2817,32951,unc-31:HEN1 repl 5 (MLC531) No Treatment,henn-1(0),Pan-neuronal (all neurons)
11/5/15,3321,2817,32953,unc-31:HEN1 repl 1 (MLC530) Treatment,henn-1(0),Pan-neuronal (all neurons)
11/5/15,3321,2817,32954,unc-31:HEN1 repl 5 (MLC531) Treatment,henn-1(0),Pan-neuronal (all neurons)
,,,,,,
2/23/16,3613,3152,37022,rgef-1:HEN1 repl  3A (MLC664) No Treatment,henn-1(0),Pan-neuronal (all neurons)
2/23/16,3613,3152,37023,rgef-1:HEN1 repl  3A (MLC664) Treatment,henn-1(0),Pan-neuronal (all neurons)
2/23/16,3613,3152,37024,rgef-1:HEN1 repl  14C (MLC665) No Treatment,henn-1(0),Pan-neuronal (all neurons)
2/23/16,3613,3152,37025,rgef-1:HEN1 repl  14C (MLC665) Treatment,henn-1(0),Pan-neuronal (all neurons)
,,,,,,
,,,,,,
5/19/16,3859,3455,40634,8XASE:HEN1 repl 5 (MLC702) No Treatment,WT,ASE neurons (2 neurons)
5/19/16,3859,3455,40635,8XASE:HEN1 repl 5 (MLC702) Treatment,WT,ASE neurons (2 neurons)
5/19/16,3859,3455,40636,8XASE:HEN1 repl 9 (MLC703) No Treatment,WT,ASE neurons (2 neurons)
5/19/16,3859,3455,40637,8XASE:HEN1 repl 9 (MLC703) Treatment,WT,ASE neurons (2 neurons)
,,,,,,
7/25/16,4042,3668,42747,8XASE:HEN1 repl 5 (MLC749) No Treatment,henn-1(0),ASE neurons (2 neurons)
7/25/16,4042,3668,42748,8XASE:HEN1 repl 5 (MLC749) Treatment,henn-1(0),ASE neurons (2 neurons)
7/25/16,4042,3668,42749,8XASE:HEN1 repl 9 (MLC750) No Treatment,henn-1(0),ASE neurons (2 neurons)
7/25/16,4042,3668,42750,8XASE:HEN1 repl 9 (MLC750) Treatment,henn-1(0),ASE neurons (2 neurons)
,,,,,,
,,,,,,
5/5/17,4906,4606,52017,"pan-glia:HEN1 (OS11028, Georgia strain) No Treatment",WT,Glial cells
5/5/17,4906,4606,52018,"pan-glia:HEN1 (OS11028, Georgia strain) Treatment",WT,Glial cells
5/5/17,4906,4606,52019,tph-1:HEN1 repl 7 (MLC778) No Treatment,WT,Serotonergic neurons
5/5/17,4906,4606,52020,tph-1:HEN1 repl 7 (MLC778) Treatment,WT,Serotonergic neurons
5/5/17,4906,4606,52021,tph-1:HEN1 repl 8 (MLC779) No Treatment,WT,Serotonergic neurons
5/5/17,4906,4606,52022,tph-1:HEN1 repl 8 (MLC779) Treatment,WT,Serotonergic neurons
,,,,,,
,,,,,,
5/30/17,4966,4677,52624,dat-1:HEN1 repl 1 (MLC776) No Treatment,WT,Dopaminergic neurons
