"","mir-1821","lsy-6","mir-791","mir-790","mir-254","mir-124","mir-792","mir-794","mir-249","mir-793","mir-83","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"Dopaminergic",0.44597539380462,-0.0609306839998627,-0.219668496076828,0.807728548193049,-0.228871677690221,0.480689083204283,-0.682042877284625,-1.25132447427346,0.388965406293044,0.0244770176557259,1.83916368032001,2.02622092931445,1.26821953292898,-0.0718487122457598,3.13362755017626,0.175919269913571,-0.499607617505679,0.486845109641608,1.85739441152232,1.11487717834867,0.516283977235528,-1.71370703895115,0.640223228993296,0.65245725106557,-0.549500207239467,1.23477178056048,-0.355442610163067,4.62962578249325,1.24841054484988,1.95754899851784,0.390964132378941,2.17526558996064,-2.32341664745629,0.326612624707914,-0.077767660254799,0.311736200955798,0.260005890042231,2.72285735274322,-0.429763003963655,-1.59959285011267,0.0178193654335161,-0.435678522373867,0.374500096525781,0.286250879951985,0.677190723318596,1.58015599754085,1.5923843756339,-0.311392639929144,1.02497374023832,-2.00203754180379,0.223014437582375,2.38091145142519,-0.423282093988544,-0.554072238033829,1.81283446308558,0.391438566905957,1.92097381643993,2.41548278328219,-0.0978608976385384,1.17526163866696,1.49595931436857,-0.265877155142615,-0.37378126284095
"Serotonergic",2.82360879426568,-1.34545904725534,0.470195177194156,0.194844742202204,0.0969704254816659,-0.426680706122795,-0.936641539075591,-2.25932276536809,0.415781420244577,0.38746165932801,-0.153017347827598,0.377864198113286,2.20268882762532,-0.161242517495586,-0.106637190714208,0.0530930907280116,-0.973190946221107,-0.177347951421584,-0.829440352309936,0.50356592355039,0.640266670295983,-2.08256289182909,-0.0265692339011192,0.467744345790753,-0.789919157276088,0.74639415992746,0.409375393682327,0.770765870465724,-0.00202580239685091,-0.616798410711151,-0.288712438820776,0.568500883817236,-0.494103346364128,0.251353095823448,-1.10266133212562,-0.545612066411792,-0.501996520619991,0.111980121885597,-1.17798285196251,-1.27795926354316,0.515834738473881,-0.513186750157304,-0.751803145497252,-0.656388179281962,-0.208749072750556,-0.802330461160887,-1.79810382115149,-0.899034963964919,-1.03070190888744,-3.61313306535935,-0.619261938812359,-0.438190328186199,-0.787929569932497,-2.86331423899371,-0.686950061364128,-1.0004402608314,-1.00774327974288,0.143614029867267,-0.843592348973942,-0.874968643100279,-0.22559096005535,-1.43670087569139,2.59987848038922
"Glutamatergic",8.1755817493949,4.97283649058947,5.03135531712954,5.832512069868,7.11384868707407,4.41813197390906,4.65616487969748,4.83655412221444,5.33841989684663,4.56337975510605,4.98094078062162,5.03768917170492,1.08948492917129,3.25455366587605,6.24845362500021,4.16317146933163,2.16050174059067,4.24019837988762,5.86681265046485,3.92330925703491,0.9642998605689,1.75026060689118,2.30294637432571,0.644160832687229,2.22677369832433,2.59064412244435,2.71385514878856,5.97348648104043,3.6321043957956,4.22018641110837,2.17668426054612,4.68173588760424,0.0715830282749194,2.11882428407518,2.8583472124674,1.68864729857089,1.78664515272892,5.30580966054689,2.48310395493134,2.34889169046904,2.56487712111815,0.540594198691923,3.12423887497952,2.03467130244344,2.8985329837388,3.32403070964882,3.45933963130557,2.27376246067071,3.69110080914386,4.48129703434227,0.225692552416642,4.7135159202724,4.57531568204523,4.96308684560546,4.31748677589942,3.08483115906773,5.3856893567237,3.85686655229196,2.90961245747819,3.73415066773021,3.55208060983331,3.15550724968321,5.65848338897808
"Cholinergic",5.91942818671138,-0.911679824699069,1.72150729367097,3.80424506315129,4.90187021544762,4.10918276041951,1.5765492772226,1.66894847575449,0.514324977032817,1.36899182750316,4.95136642807214,5.24434720661907,1.2088703562198,0.279440743439298,5.99144798515892,0.801553700542728,0.879109792624369,3.92618532988863,5.12494032249155,3.75930539067326,1.30727384774638,1.92383040743901,2.60121089164688,1.01305346196529,1.81531481367089,3.34244236454066,0.00373967526867958,6.18122569573007,4.26594285597098,4.59757727885887,2.31600516741465,5.53672904437425,3.84677942684891,4.21437159925328,0.40484123828115,1.91981908477185,2.66018736041199,5.21742170081533,4.51064847006027,2.9681587046487,4.11969463405159,1.99210511748684,2.80225713334056,0.541257662849404,3.18460961667363,4.32567792527849,4.77380901970177,3.5479630879576,3.89189097442899,3.23103405565546,1.26025841814692,5.24793971404098,5.68376283193841,1.70225803935026,5.05065396790728,3.46906997486091,5.41929393127637,5.3417464309302,3.87564002484802,4.18840227659546,5.29608558225632,1.77258668617142,6.03532093082442
"GABAergic",-0.0597023601126723,-0.23485480088105,-0.572974405196651,0.00555875476851275,0.488441945275343,1.82752927729052,0.168294612363622,-0.928580198870256,-0.438551222420988,-0.760884760957215,2.51887370251634,2.79319087215923,0.324971349743936,-0.506616914868347,2.28445405431965,-0.255776713281931,-0.0458036613662198,0.958708638817743,2.68020108388036,1.2137137839703,0.450925084592541,-3.85176016682858,0.557120711855294,0.0930951813271754,0.164688654002305,0.989473392672387,-0.753853691581566,4.69846318676981,1.69232837074644,1.99013511454552,0.521829388090727,2.46539135783024,-0.605933764038288,1.07128658326206,0.148984116464765,0.634723622251732,0.639290176498922,3.82807780012291,0.533018199767169,-0.643918710454958,1.31223713358557,0.195831993316596,0.995001675051773,-0.278327664842974,1.86306179596349,1.91836305792514,2.05985820591637,0.216820149677738,1.96645121948002,0.457901569271547,-0.280021942693971,2.97401843842711,1.38267263543157,0.732204083833015,2.37934455954642,0.915165828288077,3.07115898965082,2.93903094183515,1.36647222229507,1.75491699203736,2.83655080046725,0.473246059738634,0.154219433813192
"Ciliatedsensory",8.88275698347567,5.22944784227813,5.08487375589637,6.26719629054142,7.23783623566236,4.51858055967351,6.07803545013273,5.6728179347708,4.52412804538053,5.17949128776873,4.38900874531183,4.6021811921754,1.61052298571169,2.81306918998747,6.46259477312104,4.73870787328969,1.86207945559516,3.00374655394756,2.37090409466866,2.80157942374586,0.733461416543541,0.570350026126109,-0.933481016640826,0.0116241675802842,3.03157120736171,0.416837475616141,3.60972501473701,1.6233954364572,0.983463129520979,4.12908584996631,1.59209584767234,1.95247724901122,2.017307146606,0.505591338998093,4.32364467379394,0.665437869467739,1.19022329045151,0.312383350909479,2.08212413413761,0.550308832023261,1.52379642612994,0.148657242073353,2.52531744999335,4.92233387353853,1.10686502115981,0.165330499941252,1.04088493371469,-0.0446958904004653,0.81215634969165,2.04433127893695,2.50262935441984,0.366721663091562,1.24473857877465,6.34778186822583,0.138251107845501,-0.0459993785003876,0.250837495903661,2.83714702607059,0.232896792346633,0.279230129064953,1.23899670057351,1.53197880250499,0.796378169937755
"Mechanosensory",-0.297720671220438,0.276036481046879,-1.54698129526881,-0.34077596779005,0.296969158803557,1.58095836970461,0.0719212664754885,0.229863450049145,-1.15644644265629,-1.89097800482904,0.172192574555682,2.81110495909025,0.677555108217279,0.805842728581259,4.00751439840093,-0.22647903176159,-0.0585490890533746,0.527834462923447,0.68740910763176,1.10421070197791,0.0353736215766745,-3.13500735856476,-1.72849643085326,-0.813513826004988,0.742564319843206,-0.190708296072934,-1.11278781440259,2.17503503871927,0.638261612137295,1.04088368713018,1.86803374391076,0.862349142660457,-0.638812563114711,0.634676266154851,0.13757432426726,1.52326142723956,1.64707804706656,0.399686304929376,1.12656577300803,-0.800439123001471,1.17269706598924,-0.231830493451868,1.83921014728821,-1.19656237563585,-0.195642070248237,0.113125588273954,0.722078885468797,-0.162664440765673,0.299484558666027,-0.0451251429399945,0.265069271096125,0.546469279741496,-0.52357750648487,0.421590319107466,0.314383615504526,0.041642371194885,0.846725978301631,3.11255426588303,0.163532066528443,0.284694697509448,0.928049141541728,-0.10874994100163,1.02975210449657
"unc.86",1.59728160855019,0.082735516316153,-1.26765942368092,-0.200295388499262,2.32290388283666,3.42383938751961,0.0908224515534672,0.874345660052072,-0.458751111255803,-2.29882362232344,0.845991125970446,3.80476793103243,0.273120304511029,0.609017242583146,4.58265952478731,-0.751173491802524,-0.434554165561171,1.34499797593008,3.9897214016104,1.43438346477079,0.413684952046882,-1.55558608724258,-1.68963008449078,-0.339928490610902,0.536229372827686,0.581976458954955,-1.29056368970277,1.05797926569378,0.233657938888264,3.15827380279354,1.37474078701559,2.3208729487832,1.27147569641804,0.449838112186234,-0.0536507788171994,1.05110588455632,0.816211508127218,-1.02938216412627,1.56923639169724,-0.653156762200249,2.0375680160377,-0.015112007495504,1.39529161143378,0.621243585200348,0.119378747511758,-0.45621683890114,0.210964741599357,0.0816256082527973,0.103525232470672,-0.479798590027726,0.679233719550371,-0.165282750708657,-0.478466499013233,0.395184940448958,-0.288454294773972,-0.377824010183741,-0.174604495569913,2.66567160691921,-0.369382654282823,-0.337769782096712,0.754049216178798,0.191726460421878,1.08891105042857
"Pharyngeal",0.415412705167115,-0.344043553488422,0.276816226346463,0.549259817913175,0.533318336548475,0.0520257241168709,0.169204412812749,0.749659170788187,0.232757726048632,0.306631748383691,1.01411138800465,0.912612188256706,1.29260717027826,-0.433842617084803,0.998256578818532,-0.867176286431358,-0.711239888110957,0.422041011260859,1.5285399005318,0.598352949007786,0.722398316897932,-0.0329081614070916,-0.0863201657516282,0.523080968426095,-0.983551240064861,0.829971103937854,-0.630163601067755,3.4502046659689,0.677948053156197,0.763451218821515,-0.056712746073706,1.30371445415957,-0.605963262508696,0.262701283985639,-0.690812571419245,-0.480848285022722,-0.25319213031823,1.15349882800492,-0.529220410229523,0.588693897636887,-0.0867914888673131,-0.349507894490636,-0.369514785510711,-2.08454480103554,-0.106148437308423,0.624380697035052,0.118563615408664,-0.632470181996274,-0.123230549028281,0.485723721840261,0.28367565958991,1.04660357619169,-0.7688240772396,0.499497638377692,0.853985680665559,-0.181439613675695,1.03907014047946,0.337037576124356,-0.236438880301906,0.120314120511251,0.735953166928883,-0.602179914115575,4.44915320197636
"ceh.14",5.68421791004125,0.0206938903833685,3.71908269031923,3.09108923633468,0.136050631015639,4.50235698692545,1.88264796538644,2.69794378393119,3.69508902823167,3.13077766110753,2.17967507790346,3.90028280664336,1.61685917179318,1.44038424110632,4.48694440797435,0.411935219912305,0.389356564733384,1.63062288441638,4.83350500872885,1.82652748682782,0.0494704145597851,0.35173589224219,0.156973158770274,0.197550427450062,1.25338784231753,0.866810461190898,0.674627829382616,4.12882778981571,1.10990652132986,3.00762478829088,0.805295014132848,2.58811004174511,0.372009865275407,2.7213574540709,1.46796295737679,0.118582269292888,0.375742354112615,2.10794771014097,1.55332518637594,-0.750494342161136,1.66770819149492,0.248984537935569,1.49313652450355,0.627465777654921,1.1791138239222,1.17346315428412,1.42026184691672,-0.226674337042801,0.142415897887965,-0.475822192276874,0.521539854407947,1.61138346130349,-0.458463523228382,-0.259402617698499,0.907648505999346,-0.127587387193908,1.73738513686269,2.5808314144436,0.138705792772583,0.447950636239515,1.54824119838851,2.54879864841043,0.358079851944649
