"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.325008281185313,NA,NA,0.132846596496435,NA,NA,0.134972492402874,NA,0.1328188700504,NA,0.508454407545366,0.348469332036705,0.721701574876052,0.158453002535,0.576584794658617,0.20794766860181,0.303378518826588,NA,NA,NA,NA,0.229773770069076,NA,NA,0.0433614298337955,0.172481841013333,NA,NA,0.161551643986771,NA,0.328916855635839,0.191494415512904,NA,0.429997539482213,NA,0.413329626536245,0.28636155946014,0.326480130092434,NA,0.613054164664395,0.63898826080219,0.388093105127045,NA,1.72217321082964,1.04028146400611,NA,NA,0.893164688867976,NA,NA,0.970801143818488,NA,0.236952253938316,NA,1.21055102404477,NA,0.655227496538213,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00984064399600269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,0.0131262773803699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122226636771325,NA,NA,NA,NA,NA,0.12722451498331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",0.428774014200467,0.226609696877852,0.477354937186548,1.01626444675877,0.181210393168245,0.647135257242136,NA,0.378144328642169,1.21468951205907,0.778083679608374,0.501688343628478,0.23951775908872,NA,0.363240732837557,0.209182419117028,1.83236833554883,0.300822173603188,0.481087649367731,NA,0.392716213138713,0.0167459953461697,0.028238246488024,NA,NA,0.524872026180242,NA,1.33965360212061,NA,NA,0.217444287545788,0.0428856979770372,NA,NA,NA,0.814916091388161,NA,0.0385363977283893,NA,0.253186547435155,NA,0.147287192000124,NA,0.257187829352881,0.586734637495582,0.138182073697095,NA,NA,NA,0.273815651139428,0.62728922856824,NA,NA,NA,1.87449700577702,NA,NA,NA,NA,NA,NA,NA,0.237538701089983,NA
"AFD.PHA.PHB",NA,1.3653518670889,1.63064472934057,1.18756851966397,1.16457198326683,0.259565710921436,0.69355055095394,0.818746797544146,NA,1.10375560212618,1.66028903626116,0.368587528291844,NA,0.62478404273561,0.220206411357504,0.394916713388394,0.215428531582279,0.255000316924968,0.211908179101998,0.185885785850539,NA,NA,NA,NA,0.70035482238972,NA,0.622589641487318,NA,NA,0.390233341401419,0.0256975041941039,NA,NA,NA,1.00220544564275,NA,NA,NA,NA,NA,NA,NA,0.341342280253994,0.0725823199795583,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101588295914132,NA,NA,NA,NA,NA,NA,NA,0.764038115421589,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.361036393561602,NA,NA,NA,NA,NA,0.287486319389689,NA,NA,NA,NA,0.369153158821688,0.768362728364051,0.486125523125588,0.611060310794682,0.254743736289738,0.371698433933846,NA,NA,0.419763410245273,NA,NA,NA,NA,0.295461155841114,0.538754172577929,NA,0.352041721734207,1.17008244606495,NA,0.780258712148871,0.473806680693548,NA,0.483188491518613,NA,0.276882254090626,0.97126215141088,0.667503344882683,NA,0.328241764432106,0.825991466190592,0.692995085130238,NA,1.16115129828929,0.520041617279354,NA,NA,1.23479629496667,NA,NA,1.04391608476395,NA,0.592316419906137,NA,1.14469134394946,NA,0.782700878590636,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622971302199487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02845059116305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0121374541533433,NA,NA,NA,NA,NA,0.0129604096574915,0.128548708707492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140148017802496,NA,NA,NA,NA,NA,NA,NA,NA,0.0787230655778893,NA,0.292783884704885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
