"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.0275510579184404,NA,NA,NA,NA,NA,0.0549483663181082,NA,0.125860958143837,NA,NA,0.151294261279577,0.293584468115208,NA,0.169842733579547,0.240237255541927,0.35644564751358,NA,0.0323565244681342,0.0575634688697558,0.524667987270432,NA,NA,0.48263547639224,0.0433738081578573,0.0659086719141137,NA,NA,NA,NA,0.260473850250434,0.112161297060675,NA,0.501245488806916,NA,0.47601672231279,0.381133452659071,0.372360234109411,NA,1.08299604634795,0.507139996996404,0.137330285009397,1.88876579519244,2.14170903295418,1.411277317873,NA,0.741562676886269,1.0316888934437,NA,0.555726437010526,1.61699307663574,NA,0.088156025536677,NA,1.7274054520358,NA,0.468497746340562,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0353939097411941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121074745782279,NA,NA,NA,NA,NA,0.1261169442283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",NA,NA,NA,1.22217037269261,NA,0.831508729454061,NA,NA,0.786550607258414,0.56988980809311,NA,NA,NA,0.277895832698616,NA,2.767605804784,0.461672400430679,1.24509497505627,NA,0.568788112818133,NA,NA,NA,NA,0.483970694040583,NA,1.70184259467087,NA,NA,NA,NA,NA,NA,NA,0.707421752222164,NA,NA,NA,0.0409246882187092,NA,NA,0.0174320585340079,NA,0.116390794136293,NA,NA,NA,NA,NA,0.546836422373202,NA,NA,NA,0.822337832747752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFD.PHA.PHB",NA,1.44587373764844,1.92777378391558,0.852793391097823,0.800803999809955,NA,0.883206093969433,0.384709939418632,NA,1.05209884015915,1.96825199928488,0.652490131652303,NA,0.826972877400914,NA,NA,0.309392981548472,0.168350338541203,NA,NA,NA,NA,NA,NA,0.867703351748366,NA,0.593816582918816,NA,NA,0.682911621788203,NA,NA,NA,NA,1.18691370315282,NA,NA,NA,0.163148617991596,NA,NA,0.0762502444546571,0.667219811343587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02116911641999,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.0186571851260093,NA,NA,NA,NA,NA,0.357521574430628,NA,NA,NA,NA,0.643097039379588,1.39273663529671,NA,0.572738423671984,0.381678322610772,0.53005077791335,NA,0.39672199864112,0.282426911117453,1.27650409253971,NA,NA,1.11654703890968,0.502422193991627,1.0744025408907,NA,0.0158628901541064,1.65183091315188,NA,1.16443516544862,0.768932872934854,NA,0.134714079267967,NA,0.40473273141127,1.54247702728567,1.28706994516437,NA,NA,1.33559246597226,1.3176106153613,3.14599688025393,1.4817625565488,0.481187577132657,NA,0.764492616817703,1.65040792258717,NA,1.18538587963708,1.84640936030684,NA,1.26341453592746,NA,1.61809923473535,NA,1.04715679084057,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475136615484623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12064435677704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226738661837586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
