"","lsy-6","mir-791","mir-793","mir-792","mir-1821","mir-83","mir-124","mir-790","mir-254","mir-794","mir-249","mir-55","mir-1818","mir-84","lin-4","mir-1022","mir-74","mir-34","mir-392","mir-71","mir-62","mir-246","mir-238","mir-4816","mir-86","mir-239a","mir-1824","mir-243","mir-72","mir-233","mir-87","mir-239b","mir-796","mir-250","mir-232","mir-2","mir-50","mir-1020","mir-4808","mir-253","mir-4807","mir-61","mir-56","mir-786","mir-787","mir-259","mir-1829c","mir-252","mir-248","mir-785","mir-59","mir-65","mir-245","mir-356b","mir-64","mir-66","mir-355","mir-90","mir-1","mir-63","mir-1829b","mir-234","mir-76"
"ADA.AUA.LUA.PVQ.RIA.RIG.RIM.URY",NA,NA,NA,NA,NA,0.332999027522422,NA,NA,0.257272296422018,NA,NA,0.130345071381815,NA,0.144289111290348,NA,0.538555030222209,0.347506274141186,0.680940010427315,0.180709232663626,0.539236373716322,0.200823263783458,0.284448986457637,NA,NA,0.0117613988805938,NA,0.249782489990268,NA,NA,0.0475809135582002,0.176604688769718,NA,NA,0.18327896613896,NA,0.340509327150902,0.189563667973436,NA,0.425886084137328,NA,0.406550031068455,0.277644943664536,0.333690136219384,NA,0.571664587787191,0.622825197693845,0.377532889453755,NA,1.64797194267286,1.00000822437174,NA,NA,0.857677448430399,0.0467182880110315,NA,0.88837356123581,NA,0.247406559737329,NA,1.11690791445867,NA,0.657247753308094,NA
"ADE.CEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225520785197145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF",NA,NA,NA,NA,0.0555758231520386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122128096524636,NA,NA,NA,NA,NA,0.135629158120341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL.ASG.ASK.AWC.BAG.IL1.OLL.OLQ",0.535871435372451,0.271367702255106,0.505585057390531,1.0199991553878,0.30077352629603,0.616776993996258,0.00789011255002378,0.443611747050697,1.20063273757002,0.787754614015427,0.564190450566676,0.241635328722344,NA,0.368247602977638,0.203313219612722,1.72857167718312,0.306267468556481,0.469260093671862,NA,0.376109209807626,0.0238109781511589,0.0369140230275068,NA,NA,0.504865655138245,NA,1.26762310195161,NA,NA,0.228918575184369,0.0608674462197759,NA,NA,NA,0.809069117857739,NA,0.050648579504953,NA,0.239249387635715,NA,0.136862379300214,NA,0.270661764835448,0.542330155768561,0.148114925505708,NA,NA,NA,0.316942184696482,0.611748629828317,NA,NA,NA,1.65547209125059,NA,NA,NA,0.0150329579942428,NA,NA,NA,0.265071915823161,NA
"AFD.PHA.PHB",NA,1.31708242331965,1.52857801466372,1.13260959061031,1.14186614689851,0.283598881578592,0.656758380258728,0.841045305465754,NA,1.06154895347405,1.60170199186238,0.352899203200176,NA,0.605843254758086,0.209771660087933,0.415249845075146,0.21082381226538,0.253238018972874,0.227811408143512,0.178055248883996,NA,NA,NA,NA,0.668401657226959,NA,0.631471758150826,NA,NA,0.382644959873438,0.027371950953663,NA,NA,NA,0.965450407940811,NA,NA,NA,NA,NA,NA,NA,0.329502721546997,0.0959036812578654,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148331425004845,NA,NA,NA,NA,NA,NA,NA,0.735702050885336,NA
"AIA.AIN.AIY.ALN.AVG.PVP.RIF.RIR.SIA.SIB.SMB",NA,NA,NA,NA,NA,0.381093715749243,NA,NA,NA,NA,NA,0.276257998332371,NA,NA,NA,NA,0.366315807691027,0.735052253560755,0.460324053070948,0.566838475963004,0.239570855550348,0.348407851686286,NA,NA,0.410278082817852,NA,NA,NA,NA,0.29194871879049,0.496719988135694,NA,0.368010457303227,1.094520681292,NA,0.7279923758975,0.460412230594077,NA,0.506020310832127,NA,0.313844510731841,0.869891675187108,0.63172387056401,NA,0.338111992407607,0.793597814172687,0.655557416655231,NA,1.12358364670233,0.529118411450709,NA,NA,1.16785631209893,NA,NA,0.954074513625657,NA,0.550379239008561,NA,1.0694573206299,NA,0.75804605214703,NA
"AIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0320394041247528,NA,NA,0.617000600231917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0246438001289842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0234628202957386,NA,NA,NA,NA,NA,0.026688378326659,0.157244604061835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0323366298663746,NA,NA,NA,NA,NA,NA,NA,NA,0.088463109924917,NA,0.280037444605223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
